Zone,Woreda,PHCU,Facility Name,Facility Type,OBJECTID_1,CSA HF Type,X,Y
Awi ZHD,Fagitalekoma,Waz PHCU,Waz Health center,Health Centers,"9,542",6,284215.6887,1234411.136
Awi ZHD,Fagitalekoma,Waz PHCU,Waz Health Post,Health Posts,"9,544",2,284270.2829,1234487.662
Awi ZHD,Fagitalekoma,Waz PHCU,Demama Anegeref Health Post,Health Posts,"9,539",3,287789.3135,1233337.253
Awi ZHD,Fagitalekoma,Waz PHCU,Sigila Kidanemiheret Health Post,Health Posts,"9,540",3,285179.4303,1230921.981
East Gojjam ZHD,Shebel Berenta WorHO,Webowerie PHCU,Teta Tero Health Post,Health Posts,"10,661",3,431724.3995,1126480.661
East Gojjam ZHD,Shebel Berenta WorHO,Webowerie PHCU,Mene Gobena Health Post,Health Posts,"10,775",3,388100.9639,1130880.591
East Gojjam ZHD,Shebel Berenta WorHO,Webowerie PHCU,Abrekuy Health Post,Health Posts,"10,664",3,429400.2472,1135027.812
South Gondar ZHD,Simada,Wegeda PHCU,Mekdesemariyam Health Post,Health Posts,"31,599",3,414086.9521,1255277.966
South Gondar ZHD,Simada,Wegeda PHCU,Argana Ashera Health Post,Health Posts,"31,604",3,413034.7304,1266050.724
South Gondar ZHD,Simada,Wegeda PHCU,Wegeda Health Center,Health Centers,"31,574",1,416043.9604,1260586.912
South Gondar ZHD,Simada,Wegeda PHCU,Engudadar Health Post,Health Posts,"31,600",3,415392.6007,1262139.337
South Gondar ZHD,Simada,Wegeda PHCU,Kindomeda Health Post,Health Posts,"31,616",3,420191.637,1264260.336
South Wollo ZHD,Wogidi WorHO,Wegidi PHCU,05 Tunge Health Post,Health Posts,"12,642",3,469401.6512,1171816.784
South Wollo ZHD,Wogidi WorHO,Wegidi PHCU,04 Hawey Health Post,Health Posts,"11,706",3,472873.1794,1192227.949
South Wollo ZHD,Wogidi WorHO,Wegidi PHCU,07 Werabo Health Post,Health Posts,"12,711",3,598430.5372,1258628.946
South Wollo ZHD,Wogidi WorHO,Wegidi PHCU,Wegidi Health Center,Health Centers,"31,969",2,473009.3659,1170957.135
South Gondar ZHD,Fogera,Weji PHCU,Tihuazakana Health Post,Health Posts,"11,347",3,362036.2433,1321596.558
South Gondar ZHD,Fogera,Weji PHCU,Woretazuria Health Post,Health Posts,"11,357",3,359366.3757,1318013.802
North Gondar ZHD,Dabat WorHO,Weqin PHCU,Abitera Health Post,Health Posts,"14,102",3,369973.4424,1442735.204
North Gondar ZHD,Dabat WorHO,Weqin PHCU,Weqin Zuria Health Post,Health Posts,"14,110",3,374245.3434,1447315.615
North Gondar ZHD,Dabat WorHO,Weqin PHCU,Weqin Health Center,Health Centers,"32,906",2,372377.5706,1444286.241
South Gondar ZHD,Ebinat,Wergaja PHCU,Wergaja Health Center,Health Centers,"11,553",2,396006.3493,1358486.585
South Gondar ZHD,Ebinat,Wergaja PHCU,Ababikela Health Post,Health Posts,"11,549",3,401244.1761,1358486.686
South Gondar ZHD,Ebinat,Wergaja PHCU,Tarassinba Health Post,Health Posts,"11,550",3,393076.4588,1351846.416
South Gondar ZHD,Ebinat,Wergaja PHCU,Wagi Health Post,Health Posts,"11,552",3,391039.0738,1357576.059
Oromia Special ZHD,Bati Woreda WorHO,Weyo Felana PHCU,Chachatu Health Post,Health Posts,"12,770",3,614753.0245,1242735.205
North Shewa ZHD,Menz Gera Midir WorHO,Wezhed PHCU,Anaz Tside Health Post,Health Posts,"9,002",3,577970.3434,1156598.938
North Shewa ZHD,Menz Gera Midir WorHO,Wezhed PHCU,Wezhed Health Center,Health Centers,"9,006",2,585549.819,1158882.788
North Shewa ZHD,Menz Gera Midir WorHO,Wezhed PHCU,Wejed Health Post,Health Posts,"9,004",3,585581.9222,1158958.05
Awi ZHD,Zigem,Wingi PHCU,Guder Jawi Health Post,Health Posts,"9,501",3,219242.2004,1184429.622
Awi ZHD,Zigem,Wingi PHCU,Wingi  Health center,Health Centers,"9,502",2,219256.8392,1184741.956
Awi ZHD,Zigem,Wingi PHCU,Tsewuli  Health Post,Health Posts,"9,508",3,215168.5056,1187347.583
Awi ZHD,Zigem,Wingi PHCU,Sasdubakcha  Health Post,Health Posts,"9,509",3,212312.5573,1175535.287
Awi ZHD,Zigem,Wingi PHCU,Kuli Health Post,Health Posts,"9,507",3,217823.9115,1185149.941
South Gondar ZHD,Dera WorHO,Wof Argif PHCU,Wof Argif Health Center,Health Centers,"11,614",2,357995.7583,1275788.169
South Gondar ZHD,Dera WorHO,Wof Argif PHCU,Wondegeti Health Post,Health Posts,"11,624",3,356825.8675,1278338.395
South Gondar ZHD,Dera WorHO,Wof Argif PHCU,Tamrea Health Post,Health Posts,"11,621",3,352435.4263,1272981.317
East Gojjam ZHD,Enarge Enawga WorHO,Wofit PHCU,Wefit Health Post,Health Posts,"10,753",3,399043.7049,1193071.36
East Gojjam ZHD,Enarge Enawga WorHO,Wofit PHCU,kuami Cherk Health Post,Health Posts,"10,757",3,402940.7339,1194876.732
East Gojjam ZHD,Enarge Enawga WorHO,Wofit PHCU,Kosozira Health Post,Health Posts,"10,751",3,392695.4231,1192035.632
West Gojjam ZHD,Wenberma WorHO,Wogedad PHCU,Koli Health Post,Health Posts,"10,291",3,265749.7526,1153677.508
West Gojjam ZHD,Wenberma WorHO,Wogedad PHCU,Kentefin Health Post,Health Posts,"10,285",3,265952.4468,1163143.511
West Gojjam ZHD,Wenberma WorHO,Wogedad PHCU,Gomer Health Post,Health Posts,"10,290",3,265737.7366,1159626.033
West Gojjam ZHD,Wenberma WorHO,Wogedad PHCU,Wogedad Health Center,Health Centers,"10,282",2,269304.1897,1164543.425
West Gojjam ZHD,Wenberma WorHO,Wogedad PHCU,Wogedad Health Post,Health Posts,"10,281",3,268884.7643,1164450.738
West Gojjam ZHD,Wenberma WorHO,Wogedad PHCU,Marwoled Health Post,Health Posts,"10,284",3,269908.4236,1160815.483
South Wollo ZHD,Delanta WorHO,wogeltena PHCU,Tana Health Post,Health Posts,"12,598",3,531270.3665,1242839.299
South Wollo ZHD,Delanta WorHO,wogeltena PHCU,Wogeltena Health Center,Health Centers,"31,998",7,523401.9239,1280989.255
South Wollo ZHD,Delanta WorHO,wogeltena PHCU,Mesino Amba Health Post,Health Posts,"31,990",3,521584.5255,1281478.491
North Shewa ZHD,Menz Lalo Midir WorHO,Wogerie PHCU,Afkera Health Post,Health Posts,"9,042",3,551906.9561,1123235.662
North Shewa ZHD,Menz Lalo Midir WorHO,Wogerie PHCU,Tayat Health Post,Health Posts,"9,041",3,561235.7419,1120628.574
North Shewa ZHD,Menz Lalo Midir WorHO,Wogerie PHCU,Wogera Health Center,Health Centers,"30,326",2,560695.2198,1123127.96
South Wollo ZHD,Legahida WorHO,Woin Amba PHCU,Weyenamba Health Center,Health Centers,"31,968",6,529562.0136,1183559.14
South Wollo ZHD,Legahida WorHO,Woin Amba PHCU,Seragedel Health Post,Health Posts,"12,352",3,529392.437,1188449.988
South Wollo ZHD,Legahida WorHO,Woin Amba PHCU,Awatel Health Post,Health Posts,"12,357",3,527176.8165,1179506.224
East Gojjam ZHD,Awabel WorHO,Wojel PHCU,Wojel ankirak Health Post,Health Posts,"10,802",3,393021.7164,1129736.775
East Gojjam ZHD,Awabel WorHO,Wojel PHCU,Jit Health Post,Health Posts,"10,803",3,398443.3322,1127641.528
East Gojjam ZHD,Awabel WorHO,Wojel PHCU,Wojel Health Center,Health Centers,"10,799",2,392642.5271,1130216.516
Oromia Special ZHD,Dawa Chefa WorHO,Woledi PHCU,Woledi Health Center,Health Centers,"32,179",3,588485.7768,1197942.573
Oromia Special ZHD,Dawa Chefa WorHO,Woledi PHCU,Gerbi  Health Post,Health Posts,"12,791",3,591422.3106,1186659.752
Gondar Town Woreda WorHO,Woleka PHCU,Woleka Health Center,Woleka Health Center,Health Centers,"32,680",2,334234.435,1398132.151
North Wollo ZHD,Woldia Town WorHO,Wolidya PHCU,Adengur Gebriel Health Post,Health Posts,"13,235",3,564624.1057,1310666.959
North Wollo ZHD,Woldia Town WorHO,Wolidya PHCU,Wolidya Health Center,Health Centers,"32,392",2,565185.1777,1308111.335
South Gondar ZHD,Lay Gayint,Wollela Bahir PHCU,Guna Health Post,Health Posts,"31,776",6,378142.703,1317008.785
South Gondar ZHD,Lay Gayint,Wollela Bahir PHCU,Welela Bahir Health Post,Health Posts,"31,568",2,418726.3237,1286699.842
South Gondar ZHD,Lay Gayint,Wollela Bahir PHCU,Gudeba Health Post,Health Posts,"11,272",3,421331.1892,1289971.828
South Gondar ZHD,Lay Gayint,Wollela Bahir PHCU,Wollela Bahir Health Center,Health Centers,"31,570",3,419114.6647,1285392.552
South Gondar ZHD,Lay Gayint,Wollela Bahir PHCU,Antharia Health Post,Health Posts,"11,263",3,420671.9259,1280252.817
East Gojjam ZHD,Goncha WorHO,Wondye PHCU,Wondye Kuch Health Post,Health Posts,"10,565",6,420883.2165,1221099.737
East Gojjam ZHD,Goncha WorHO,Wondye PHCU,Sara Terawoch Health Post,Health Posts,"10,556",3,426011.5353,1221099.505
East Gojjam ZHD,Goncha WorHO,Wondye PHCU,Selamgie Ambare Health Post,Health Posts,"10,562",3,417894.7547,1220203.572
East Gojjam ZHD,Goncha WorHO,Wondye PHCU,Segena Guchiba Health Post,Health Posts,"10,559",3,421835.3708,1225911.632
West Gojjam ZHD,Bahir Dar Zuria WorHO,Wongeta PHCU,Wongeta Health Center,Health Centers,"9,992",2,312854.2491,1291997.125
West Gojjam ZHD,Bahir Dar Zuria WorHO,Wongeta PHCU,Wogelsa Health Post,Health Posts,"9,994",7,313130.3411,1285243.187
Awi ZHD,Guagusa Shikuda,Wonjela PHCU,Aguta Health Post,Health Posts,"9,580",3,281942.6345,1197555.794
Awi ZHD,Guagusa Shikuda,Wonjela PHCU,Zagra Health Post,Health Posts,"9,578",3,277118.9861,1193811.336
Awi ZHD,Guagusa Shikuda,Wonjela PHCU,Zala Health Post,Health Posts,"9,575",7,276829.4494,1198864.473
Awi ZHD,Guagusa Shikuda,Wonjela PHCU,Wonjela Health Post,Health Posts,"9,582",3,280622.5361,1195404.257
Awi ZHD,Guagusa Shikuda,Wonjela PHCU,Baguna Health Post,Health Posts,"9,584",3,276919.9825,1186129.984
Awi ZHD,Guagusa Shikuda,Wonjela PHCU,Wonjela Health center,Health Centers,"9,579",2,280648.7129,1195419.77
South Wollo ZHD,Wereilu WorHO,Woreilu PHCU,Geshober Health Post,Health Posts,"12,618",3,549364.8999,1175140.908
South Wollo ZHD,Wereilu WorHO,Woreilu PHCU,Tulusertu Health Post,Health Posts,"32,172",3,545467.211,1168880.106
South Wollo ZHD,Wereilu WorHO,Woreilu PHCU,Abajale Health Post,Health Posts,"12,619",3,546476.7326,1179867.749
Central Gondar ZHD,West Belesa WorHO,Worhala PHCU,Gond Health Post,Health Posts,"11,521",3,401314.6968,1266310.737
Central Gondar ZHD,West Belesa WorHO,Worhala PHCU,Kalay Health Post,Health Posts,"13,589",6,367191.3386,1375734.022
Central Gondar ZHD,West Belesa WorHO,Worhala PHCU,Fenta Health Post,Health Posts,"13,611",2,361352.7729,1380268.594
South Wollo ZHD,Tenta WorHO,Woriteji PHCU,Gaya Health Post,Health Posts,"12,594",3,522053.5533,1215581.67
South Wollo ZHD,Tenta WorHO,Woriteji PHCU,Wertej Health Post,Health Posts,"12,584",3,524782.5755,1219641.795
South Wollo ZHD,Tenta WorHO,Woriteji PHCU,Woriteji Health Center,Health Centers,"12,583",2,524850.6953,1219666.115
South Wollo ZHD,Mehal Saint WorHO,Work Mawecha PHCU,Werk Mawcha Health Post,Health Posts,"12,421",3,473075.3196,1213680.974
South Wollo ZHD,Mehal Saint WorHO,Work Mawecha PHCU,Work Mawecha Health Center,Health Centers,"12,422",2,473087.3232,1213667.427
Awi ZHD,Jawi,Work Meda PHCU,Wobo Health Post,Health Posts,"9,467",3,238069.9718,1256049.435
Awi ZHD,Jawi,Work Meda PHCU,Work Meda health center,Health Centers,"30,629",2,242590.1094,1256835.198
North Wollo ZHD,Raya Kobo WorHO,Workie PHCU,Workie Health Post,Health Posts,"13,077",7,584527.609,1324397.168
North Wollo ZHD,Raya Kobo WorHO,Workie PHCU,Workie Health Center,Health Centers,"13,078",2,584684.6129,1324255.516
North Wollo ZHD,Raya Kobo WorHO,Workie PHCU,Yaya Health Post,Health Posts,"12,705",3,595251.3099,1255177.517
West Gojjam ZHD,Semen Mecha WorHO,Wottet Abay PHCU,Tatek Lesira Health Post,Health Posts,"9,919",3,282756.0409,1246797.422
West Gojjam ZHD,Semen Mecha WorHO,Wottet Abay PHCU,Mekeni Health Post,Health Posts,"9,910",8,290389.6167,1254647.748
West Gojjam ZHD,Semen Mecha WorHO,Wottet Abay PHCU,Goragot Health Post,Health Posts,"9,915",3,285652.2313,1250695.423
West Gojjam ZHD,Semen Mecha WorHO,Wottet Abay PHCU,Wottet Abay Health Center,Health Centers,"30,855",2,285994.945,1257430.957
West Gojjam ZHD,Quarit WorHO,Woy Beyign PHCU,Woybeyign Health Post,Health Posts,"10,243",3,332079.7667,1220309.488
West Gojjam ZHD,Quarit WorHO,Woy Beyign PHCU,Borez Health Post,Health Posts,"10,241",3,337060.8214,1220370.902
West Gojjam ZHD,Quarit WorHO,Woy Beyign PHCU,Woy Beyign Health Center,Health Centers,"10,238",2,332720.1744,1220324.821
West Gojjam ZHD,Quarit WorHO,Woy Beyign PHCU,Ayen Yiberit Health Post,Health Posts,"10,245",3,335661.3498,1216361.31
Central Gondar ZHD,Wogera WorHO,Woybey PHCU,Weybey Health Post,Health Posts,"13,834",2,353790.0654,1418046.17
East Gojjam ZHD,Bibugn WorHO,Woyn Wuha PHCU,Amba Amarsa Health Post,Health Posts,"10,715",3,366437.1039,1212797.305
East Gojjam ZHD,Bibugn WorHO,Woyn Wuha PHCU,Woyn Wuha Health Post,Health Posts,"31,366",3,363666.9755,1218395.395
East Gojjam ZHD,Bibugn WorHO,Woyn Wuha PHCU,Woyn Wuha Health Center,Health Centers,"31,362",2,363792.5558,1217756.759
East Gojjam ZHD,Bibugn WorHO,Woyn Wuha PHCU,Moseba Shime Abo Health Post,Health Posts,"10,713",3,361561.3312,1214651.318
West Gojjam ZHD,Wenberma WorHO,Woynima PHCU,Woynima Health Center,Health Centers,"10,197",2,298770.1131,1166195.215
West Gojjam ZHD,Wenberma WorHO,Woynima PHCU,Woynima Health Post,Health Posts,"10,199",3,298827.8588,1165763.33
West Gojjam ZHD,Jabi Tehnan WorHO,Woynma PHCU,Ergebe Health Post,Health Posts,"10,203",3,297245.3802,1155243.327
West Gojjam ZHD,Jabi Tehnan WorHO,Woynma PHCU,Woynma Health Center,Health Centers,"10,292",2,276960.8852,1157695.089
East Gojjam ZHD,Enemay WorHO,Woyra PHCU,Telima Health Post,Health Posts,"10,604",3,408367.3009,1171937.065
East Gojjam ZHD,Enemay WorHO,Woyra PHCU,Debregenet Health Post,Health Posts,"10,537",3,389757.7561,1194038.189
East Gojjam ZHD,Enemay WorHO,Woyra PHCU,Woyra Health Center,Health Centers,"10,591",2,407800.4689,1168774.859
South Wollo ZHD,Ambasel WorHO,Wuchale PHCU,Tisabalima Health Post,Health Posts,"11,682",3,567754.4587,1268523.015
South Wollo ZHD,Ambasel WorHO,Wuchale PHCU,Abate Health Post,Health Posts,"11,696",3,563275.4281,1273830.665
South Wollo ZHD,Ambasel WorHO,Wuchale PHCU,Wuchale Health Center,Health Centers,"32,002",2,566544.9256,1272507.253
North Wollo ZHD,Guba Lafto WorHO,Wudmen PHCU,Amaye micha Health Post,Health Posts,"12,956",3,559369.4939,1303470.581
North Wollo ZHD,Guba Lafto WorHO,Wudmen PHCU,Eziet Health Post,Health Posts,"12,979",3,557483.439,1296222.63
North Wollo ZHD,Guba Lafto WorHO,Wudmen PHCU,Wudmen Health Center,Health Centers,"12,964",2,556895.2585,1298773.153
Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU,Chaja Giwrgis Health Post,Health Posts,"9,385",6,254019.7589,1193436.695
Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU,Wunbiri Wundigi Health Center,Health Centers,"9,382",2,251465.5283,1188243.07
Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU,Chaja Kibirta Health Post,Health Posts,"9,384",3,249922.0501,1191983.222
North Wollo ZHD,Habru WorHO,Wurgesa PHCU,Gurarba Health Post,Health Posts,"32,317",2,489391.1786,1266536.154
North Wollo ZHD,Habru WorHO,Wurgesa PHCU,Wurgesa Health Center,Health Centers,"32,287",2,568188.7083,1275726.95
North Wollo ZHD,Habru WorHO,Wurgesa PHCU,Libiso Health Post,Health Posts,"12,997",3,572347.6665,1278858.518
North Wollo ZHD,Habru WorHO,Wurgesa PHCU,mehal Amba Health Post,Health Posts,"13,001",3,571686.4627,1281325.18
North Wollo ZHD,Habru WorHO,Wurgesa PHCU,Genfo chefe Health Post,Health Posts,"12,996",3,567545.5767,1278714.498
North Wollo ZHD,Habru WorHO,Wurgesa PHCU,Selelkula Health Post,Health Posts,"12,999",3,564935.5173,1282138.301
East Gojjam ZHD,Debre Markos WorHO,Wuseta PHCU,Wuseta Health Center,Health Centers,"31,273",2,361918.7662,1140854.463
South Gondar ZHD,Libo Kemkem WorHO,Wushatirse PHCU,Wushatirse health post,Health Posts,"11,178",3,356328.1887,1338049.617
South Gondar ZHD,Libo Kemkem WorHO,Wushatirse PHCU,Agedkeregna Kuter1 health post,Health Posts,"11,183",3,352904.0795,1339859.078
East Gojjam ZHD,Debay Tilatgin WorHO,Yebabat PHCU,Yebabat Health Post,Health Posts,"10,900",3,394670.0789,1151441.839
East Gojjam ZHD,Debay Tilatgin WorHO,Yebabat PHCU,Yebabat Health Center,Health Centers,"10,878",2,392173.0805,1168071.509
East Gojjam ZHD,Debay Tilatgin WorHO,Yebabat PHCU,Aferamie Health Post,Health Posts,"10,886",3,398627.3407,1165381.447
East Gojjam ZHD,Debay Tilatgin WorHO,Yebabat PHCU,Kidistie Health Post,Health Posts,"10,896",3,393385.9296,1169866.56
East Gojjam ZHD,Gozamin WorHO,Yebokila PHCU,Amesha Health Post,Health Posts,"10,459",3,378080.4822,1161698.858
East Gojjam ZHD,Gozamin WorHO,Yebokila PHCU,Yebokila Health Center,Health Centers,"31,202",6,378295.9659,1154789.916
East Gojjam ZHD,Gozamin WorHO,Yebokila PHCU,Gedemala Health Post,Health Posts,"10,465",3,376839.5945,1165311.472
East Gojjam ZHD,Gozamin WorHO,Yebokila PHCU,Kegn Abo Health Post,Health Posts,"10,460",3,375658.599,1158803.727
East Gojjam ZHD,Gozamin WorHO,Yebokila PHCU,Yebokila Zuria Health Post,Health Posts,"31,204",3,378038.5165,1154938.448
West Gojjam ZHD,Dembecha WorHO,Yechereka PHCU,Enamora Health Post,Health Posts,"10,063",3,331886.1388,1174176.471
West Gojjam ZHD,Dembecha WorHO,Yechereka PHCU,Angote Yedegera Health Post,Health Posts,"10,047",3,325303.5012,1171992.368
West Gojjam ZHD,Dembecha WorHO,Yechereka PHCU,Yechereka Health Center,Health Centers,"30,896",2,327893.6497,1171748.573
East Gojjam ZHD,Hulet Eju Nese WorHO,Yechika PHCU,Guatran Health Post,Health Posts,"10,506",3,379324.2603,1236058.909
East Gojjam ZHD,Hulet Eju Nese WorHO,Yechika PHCU,Meka Health Post,Health Posts,"10,508",3,388720.1385,1232875.636
East Gojjam ZHD,Hulet Eju Nese WorHO,Yechika PHCU,Yechika Health Center,Health Centers,"10,504",2,382325.2121,1234008.135
East Gojjam ZHD,Hulet Eju Nese WorHO,Yechika PHCU,Yechika Health Post,Health Posts,"10,505",3,382326.7068,1234016.423
East Gojjam ZHD,Shebel Berenta WorHO,Yeduha PHCU,Werego Health Post,Health Posts,"10,641",6,431326.8934,1153871.034
East Gojjam ZHD,Shebel Berenta WorHO,Yeduha PHCU,Karima Health Post,Health Posts,"10,639",3,428984.6807,1163805.556
East Gojjam ZHD,Shebel Berenta WorHO,Yeduha PHCU,Yeduha Zuria Health Post,Health Posts,"10,631",3,427133.4304,1154225.63
East Gojjam ZHD,Shebel Berenta WorHO,Yeduha PHCU,Gebisit Health Post,Health Posts,"10,914",3,330225.5319,1145757.969
East Gojjam ZHD,Baso Liben WorHO,Yejubie PHCU,Yejubie Health Center,Health Centers,"10,659",3,424057.1019,1136990.952
East Gojjam ZHD,Enemay WorHO,Yekeb Hana PHCU,Yekeb Hana Health Center,Health Centers,"10,616",2,397730.253,1176596.299
East Gojjam ZHD,Enemay WorHO,Yekeb Hana PHCU,Wondasa Kusikuam Health Post,Health Posts,"10,612",3,393767.9476,1180876.692
East Gojjam ZHD,Enemay WorHO,Yekeb Hana PHCU,Mengisto Health Post,Health Posts,"10,608",3,399191.8884,1169872.567
East Gojjam ZHD,Debay Tilatgin WorHO,Yekebabat PHCU,Yekebabat Health Center,Health Centers,"10,901",2,394675.553,1151467.765
East Gojjam ZHD,Debay Tilatgin WorHO,Yekebabat PHCU,Angech Health Post,Health Posts,"10,876",3,392488.1492,1156161.355
East Gojjam ZHD,Debay Tilatgin WorHO,Yekebabat PHCU,Yekebabat Health Post,Health Posts,"10,879",3,392228.6392,1166895.202
South Wollo ZHD,Mekdela WorHO,Yekoso PHCU,Besober Health Post,Health Posts,"12,442",3,512932.4101,1229095.913
South Wollo ZHD,Mekdela WorHO,Yekoso PHCU,Yekoso Health Center,Health Centers,"12,444",2,509950.1652,1232272.751
South Wollo ZHD,Mekdela WorHO,Yekoso PHCU,Yekoso Health Post,Health Posts,"12,445",7,509782.7224,1232187.396
South Wollo ZHD,Mekdela WorHO,Yekoso PHCU,Defer Health Post,Health Posts,"12,473",3,510838.2699,1212033.566
East Gojjam ZHD,Baso Liben WorHO,Yelamgej PHCU,Gundlimit Health Post,Health Posts,"10,697",3,358131.2437,1110521.534
East Gojjam ZHD,Baso Liben WorHO,Yelamgej PHCU,Yelamegaj Health Center,Health Centers,"31,335",2,360500.0819,1110101.13
East Gojjam ZHD,Baso Liben WorHO,Yelamgej PHCU,Enetemen Health Post,Health Posts,"10,700",3,363136.9822,1112320.254
East Gojjam ZHD,Baso Liben WorHO,Yelamgej PHCU,Anjim Health Post,Health Posts,"10,702",3,355538.6193,1111345.449
East Gojjam ZHD,Baso Liben WorHO,Yelamgej PHCU,Chid Mariam Health Post,Health Posts,"10,696",3,363529.8832,1107178.929
South Gondar ZHD,Simada,Yequassa PHCU,Gosh Mada Healthe Post Health Post,Health Posts,"31,631",3,435265.4133,1233524.806
South Gondar ZHD,Simada,Yequassa PHCU,Dogie Healthe Post Health Post,Health Posts,"31,633",3,436245.8481,1239933.441
South Gondar ZHD,Simada,Yequassa PHCU,Yequassa Healthe Post Health Post,Health Posts,"31,677",3,435033.179,1242623.879
South Gondar ZHD,Simada,Yequassa PHCU,Yequassa Health Center,Health Centers,"31,676",2,433661.1315,1243240.164
South Gondar ZHD,Simada,Yequassa PHCU,Jamba Healthe Post Health Post,Health Posts,"31,634",3,440971.7692,1238636.669
South Gondar ZHD,Simada,Yequassa PHCU,Shasho Healthe Post Health Post,Health Posts,"31,630",3,430691.0207,1241147.531
West Gojjam ZHD,Jabi Tehnan WorHO,Yeraber PHCU,Goshefege Health Post,Health Posts,"10,193",3,334630.6621,1192240.079
West Gojjam ZHD,Jabi Tehnan WorHO,Yeraber PHCU,Shemebed Health Post,Health Posts,"10,183",3,324663.2698,1188657.115
West Gojjam ZHD,Jabi Tehnan WorHO,Yeraber PHCU,Yeraber Health Post,Health Posts,"10,186",3,329045.3257,1187183.718
West Gojjam ZHD,Jabi Tehnan WorHO,Yeraber PHCU,Yeraber Health Center,Health Centers,"10,187",2,329053.7426,1187187.391
South Wollo ZHD,Tenta WorHO,Yerema PHCU,Yerema Health Center,Health Centers,"12,590",2,531461.1789,1219232.871
South Wollo ZHD,Tenta WorHO,Yerema PHCU,028Sadakurikura Health Post,Health Posts,"12,380",3,539533.2369,1210772.741
South Wollo ZHD,Tenta WorHO,Yerema PHCU,025Baja Health Post,Health Posts,"12,589",3,532457.2412,1224379.499
South Wollo ZHD,Tenta WorHO,Yerema PHCU,029Keregimba Health Post,Health Posts,"12,592",3,532099.0584,1213926.741
East Gojjam ZHD,Awabel WorHO,Yesenbet PHCU,Yesenbet Health Center,Health Centers,"10,794",2,387024.4829,1150166.818
East Gojjam ZHD,Awabel WorHO,Yesenbet PHCU,Yesenbet Health Post,Health Posts,"10,793",3,387005.0278,1150228.45
East Gojjam ZHD,Awabel WorHO,Yesenbet PHCU,Enemochera Health Post,Health Posts,"10,798",3,381509.8033,1162996.294
East Gojjam ZHD,Sinan WorHO,Yeted PHCU,Yeted Health Post,Health Posts,"11,032",3,362562.6546,1158739.646
East Gojjam ZHD,Sinan WorHO,Yeted PHCU,Yeted Health Center,Health Centers,"11,033",2,362616.5298,1159287.53
East Gojjam ZHD,Sinan WorHO,Yeted PHCU,Gidnble Health Post,Health Posts,"11,034",3,356516.4679,1154975.84
East Gojjam ZHD,Sinan WorHO,Yeted PHCU,Debre Zeit Health Post,Health Posts,"11,037",3,368660.2899,1157465.507
East Gojjam ZHD,Enemay WorHO,Yetmen PHCU,Debisa Health Post,Health Posts,"10,618",3,406224.323,1147050.725
East Gojjam ZHD,Enemay WorHO,Yetmen PHCU,Mahiber birhan Health Post,Health Posts,"10,590",3,409474.1123,1151457.487
East Gojjam ZHD,Enemay WorHO,Yetmen PHCU,Sir Eyesus Health Post,Health Posts,"10,607",3,414750.527,1146574.607
East Gojjam ZHD,Enemay WorHO,Yetmen PHCU,Yetmen Health Center,Health Centers,"31,323",2,406472.6105,1142327.311
East Gojjam ZHD,Dejen WorHO,Yetnora PHCU,Sebshengo Health Post,Health Posts,"31,488",3,407147.1891,1136569.758
East Gojjam ZHD,Dejen WorHO,Yetnora PHCU,Enajima Health Post,Health Posts,"10,931",3,402124.2556,1141682.58
East Gojjam ZHD,Dejen WorHO,Yetnora PHCU,Borebor Health Post,Health Posts,"10,929",3,407659.0919,1131065.622
East Gojjam ZHD,Dejen WorHO,Yetnora PHCU,Yetnora Health Post,Health Posts,"31,493",2,403209.6196,1133358.262
East Gojjam ZHD,Dejen WorHO,Yetnora PHCU,Yetnora Health Center,Health Centers,"31,492",7,402866.8504,1132422.848
West Gojjam ZHD,Dembecha WorHO,Yezeleka PHCU,Yezeleka Health Center,Health Centers,"10,062",2,309697.55,1156994.421
West Gojjam ZHD,Dembecha WorHO,Yezeleka PHCU,Enewend Health Post,Health Posts,"10,055",3,304107.4535,1150069.445
West Gojjam ZHD,Dembecha WorHO,Yezeleka PHCU,Gedeb Health Post,Health Posts,"31,389",2,425549.7546,1172246.853
West Gojjam ZHD,Dembecha WorHO,Yezeleka PHCU,Mekar Health Post,Health Posts,"10,057",3,304468.1958,1145754.24
East Gojjam ZHD,Enebse Sar Midir WorHO,Yibsana_PHCU,Lay Mikael Health Post,Health Posts,"10,520",3,395319.3739,1208759.276
East Gojjam ZHD,Enebse Sar Midir WorHO,Yibsana_PHCU,Eneguzi Health Post,Health Posts,"10,849",3,424994.4052,1192084.051
East Gojjam ZHD,Enebse Sar Midir WorHO,Yibsana_PHCU,Yibsana Health Center,Health Centers,"10,826",2,424896.0344,1200806.702
South Gondar ZHD,Libo Kemkem WorHO,Yifag PHCU,Bura health post,Health Posts,"11,176",3,362602.6309,1333687.807
South Gondar ZHD,Libo Kemkem WorHO,Yifag PHCU,Yifage Akababie health post,Health Posts,"31,565",2,361575.2245,1335619.146
South Gondar ZHD,Libo Kemkem WorHO,Yifag PHCU,Ginaza Kuter1 health post,Health Posts,"11,172",3,363274.398,1337700.277
South Gondar ZHD,Libo Kemkem WorHO,Yifag PHCU,Yifag Health Center,Health Centers,"11,182",3,360779.2224,1335524.23
