ZHD,Woreda/ZHD/RHB,periodname,Denom - Estimated number of 0-2 months with sepsis/VSD,Denom - Estimated number of 12 - 24 months children,Denom - Estimated number of <15 year children 1,Denom - Estimated number of <5 year children,Denom - Estimated number of HIV positive pregnant women,Denom - Estimated number of Leprosy cases,Denom - Estimated number of Non-pregnant women aged 15-49 year,Denom - Estimated number of STI cases,Denom - Estimated number of adult population living with HIV ,Denom - Estimated number of adults  in the catchment area,Denom - Estimated number of adults age 15-24 within the catchment area,Denom - Estimated number of adults age 15-59 within the catchment area,Denom - Estimated number of all forms of TB cases in the population,Denom - Estimated number of child population living with HIV ,Denom - Estimated number of children  aged 24 - 59 months ,Denom - Estimated number of children aged 6-59 months,Denom - Estimated number of diabetic cases,Denom - Estimated number of girls (14 years old),Denom - Estimated number of girls (9 years old),Denom - Estimated number of hypertensive cases,Denom - Estimated number of live birth,Denom - Estimated number of neonates with birth asphyxia case,Denom - Estimated number of networked in 1 to 5 ,Denom - Estimated number of patients with CVD risk  ≥ 30%,Denom - Estimated number of people living with HIV ,Denom - Estimated number of people tested for HCT,Denom - Estimated number of pregnant women,Denom - Estimated number of surviving infants,Denom - Estimated number of under 2 yrs children,Denom - Estimated number of under 5 children with diarrhea cases,Denom - Estimated number of under 5 children with pneumonia,Denom - Estimated number of women age 30-49 within the catchment area,Denom - Expected number of deliveries,Denom - Total catchment population - female,Denom - Total catchment population - male,Denom - Total number of HHs in the catchment,Denom - Total number of Oncocerciasis MDA eligible population ,Denom - Total number of Rural HHs,Denom - Total number of Schistosomiasis MDA eligible population,Denom - Total number of Urban HHs,Denom - Total number of Urban kebele,Denom - Total number of catchment population,Denom - Total number of kebele,Denom - Total number of lymphatic filariasis MDA eligible population ,Denom - Total number of rural kebele,Denom - Total number of trachoma MDA eligible population 
West Gondar ZHD,Quara WorHO,Ham 2010 to Sen 2011,363.4,2752.6,60486.4,19211.5,43,8.5,28703.7,2724.2,,,29362.1,72964,232.7,,12046.2,18275,,1745.2,,,4696.5,46.9,,,,,4781.6,4412.7,7165.3,19211.5,5187.1,16197.8,4781.6,,,32997,122675.5,27717.5,41147.2,5279.5,2.5,141887,38.6,122022.8,36.2,141887
West Gondar ZHD,Quara WorHO,Ham 2011 to Sen 2012,369,0,61457,19524,43.7,9,29161,2768,,82692,29830,74127,236,,12245,18566,,1773,,,4858,47.6,,,,,4858,4483,7279,19524,5271,16456,4858,73516,70633,33523,124631.2,27717.5,41803.2,5279.5,2.5,144149,38.6,122022.8,36.1,144149
West Gondar ZHD,Quara WorHO,Ham 2012 to Sen 2013,363.7,2749.2,60542.9,19233.3,43.1,4.5,28727.7,2726.5,,,29386.7,73025.1,198.8,,12062.8,18290.3,4544.2,1752.4,,13034,4785.6,6.7,33024.6,,,,4785.6,4422.1,7170.5,19233.2,5193,27265.1,4785.6,,,33024.6,122778,27740.6,41181.6,5283.9,1.2,142005.6,34.9,122778,33.7,142005.6
West Gondar ZHD,Quara WorHO,Ham 2013 to Sen 2014,367.2,2781,61111.2,19415.7,35.3,4.6,29000.2,2752.4,1207,81608.8,32309.9,77923.4,200.7,88.5,12177.3,18463.8,2774.7,1763.2,,12731,4831,200.7,33024.6,,,,4831,4464,7239.3,19415.7,5242.2,15768.8,4831,69282,74070.5,33337.8,120416.1,30635.7,41572.2,2702.1,1,143352.5,28,0,27,143352.5
West Gondar ZHD,Quara WorHO,Ham 2014 to Sen 2015,370.8,2779.6,61721.3,19607.6,39.5,4.3,29286.8,2779.6,,87258.2,29386.7,78331.6,188.2,,12297.6,18646.3,87258.2,1780.7,9844.3,87258.2,4878.7,487.9,33024.6,,,,4878.7,4507.9,7310.9,19833.4,5355,15924.6,4878.7,72623.5,72145.9,33667.3,762,30938.5,263.1,2728.8,1,144769.4,28,0,27,907.2
West Gojjam ZHD,Quarit WorHO,Ham 2010 to Sen 2011,357.1,2705.1,59442,18879.8,42.3,8.4,28208.1,2677.2,,79989,28855.1,71704.1,228.7,,11838.2,17959.5,,1715.1,,,4615.4,46.1,,,,,4699,4336.5,7041.6,18879.8,5097.5,15918.1,4699,71113,68324,32427.2,120557.2,27238.9,40436.7,5188.4,3.7,139437,39.9,119915.8,36.2,139437
West Gojjam ZHD,Quarit WorHO,Ham 2011 to Sen 2012,363,4342,60396,19187,43,8,28658,2720,,81264,29315,72847,232,,12034,18246,,1742,,,4774,46.8,,,,,4774,4405.6,7153,19187,5180,16172,4774,72247,69413,32944,122479.2,27238.9,41081.4,5188.4,3.7,141660,39.9,119915.8,36.1,141660
West Gojjam ZHD,Quarit WorHO,Ham 2012 to Sen 2013,361.3,2731.2,60146.9,19107.5,42.8,4.5,28539.8,2708.7,,,29194.5,72547.4,213,,11983.9,18170.7,4514.5,1740.9,,12948.8,4754.3,6.7,32808.5,,,,4754.3,4393.1,7123.6,19107.4,5159,27086.7,4754.3,,,32808.5,121974.9,27559.2,40912.2,5249.4,3.7,141076.7,39.9,121974.9,36.2,141076.7
West Gojjam ZHD,Quarit WorHO,Ham 2013 to Sen 2014,365.5,2768.6,60838.2,19328.9,35.1,4.6,28870.7,2740.1,1201.6,84664.4,31891.3,78343.6,199.8,83.2,12122.9,18381.3,2878.6,1755.4,,13207.6,4809.4,199.8,32808.5,,,,4809.4,4444.1,7207,19328.9,5218.8,15698.3,4809.4,73204.9,69507.3,33188.9,119878.3,28908,41386.5,4280.8,3,142712.2,32,0,29,142712.2
West Gojjam ZHD,Quarit WorHO,Ham 2014 to Sen 2015,369.8,2772.3,61559,19556.1,39.4,4.3,29209.8,2772.3,,87028.7,29194.5,78125.6,187.7,,12265.3,18597.3,87028.7,1776,9818.4,87028.7,4865.9,486.6,32808.5,,,,4865.9,4496.1,7291.6,19781.3,5340.9,15882.8,4865.9,72432.5,71956.2,33578.8,756.6,29247.6,261.2,4331.1,3,144388.7,32,0,29,900.7
North Wollo ZHD,Raya Kobo WorHO,Ham 2010 to Sen 2011,628.3,4759,104574.4,33214.6,74.4,14.7,49625.6,4709.9,,140722,50763.8,126146.7,402.3,,20826.6,31595.5,,3017.3,,,8119.7,81,,,,,8266.8,7629,12388,33214.6,8967.9,28004.2,8266.8,125107,120200,57048.1,212092.4,47920.4,71139,9127.7,2.5,245307,56.1,210964,53.6,245307
North Wollo ZHD,Raya Kobo WorHO,Ham 2011 to Sen 2012,623,7639,103685,32939,77,15,49199,4669,,139512,50327,125062,399,,20659,31324,,2991,,,8196,820,,,,,8196,7573,12280,32939,8893,27764,8196,127101,119167,56557,210268.1,47920.4,70527.1,9127.7,2.5,243197,56.1,210964,53.6,243197
North Wollo ZHD,Raya Kobo WorHO,Ham 2012 to Sen 2013,627.8,4745.5,104504.6,33199.1,74.3,7.8,49587.6,4706.3,,,50725.1,126050.4,343.2,,20822,31571.4,7843.8,3024.8,,22498.3,8260.5,11.6,11400.9,,,,8260.5,7633,12377.1,33198.9,8963.7,23041.2,8260.5,,,57004.5,211930.1,47883.8,71084.6,9120.7,2.5,245119.2,56.1,211930.1,53.6,245119.2
North Wollo ZHD,Raya Kobo WorHO,Ham 2013 to Sen 2014,633.6,4799,105453.2,33503.6,60.9,7.9,50042.7,4749.5,2082.8,145883.4,49302.5,124194,346.3,145.5,21013,31861.1,4960,3042.6,,22757.8,8336.3,346.3,57004.5,,,,8336.3,7703.1,12492.1,33503.6,9046,27210.5,8336.3,123727.5,123641,57527.6,0,53269.2,71736.9,4258.4,2,247368.6,45,0,43,247368.6
North Wollo ZHD,Raya Kobo WorHO,Ham 2014 to Sen 2015,639.6,4795.1,106477.2,33825.7,68.2,7.5,50523.6,4795.1,,150531.7,50725.1,135132.2,324.7,,21215,32167.3,150531.7,3071.9,16982.7,150531.7,8416.4,841.6,57004.5,,,,8416.4,7776.8,12612.2,34215.2,9238.1,27472.1,8416.4,125285,124461,58080.5,0,53781.1,783.1,4299.3,2,249746,45,0,43,2700.5
North Shewa ZHD,Saya Deberna Wayu WorHO,Ham 2010 to Sen 2011,191,1446.8,31791.7,10097.6,22.6,4.5,15086.7,1431.9,,42781,15432.7,38349.9,122.3,,6331.5,9605.4,,917.3,,,2468.5,24.6,,,,,2513.2,2319.3,3766.1,10097.6,2726.3,8513.6,2513.2,38034,36542,17343.2,64478.3,14568.3,21627,2774.9,1.2,74575.8,17.5,64135.2,16.2,74575.8
North Shewa ZHD,Saya Deberna Wayu WorHO,Ham 2011 to Sen 2012,194,2322,32302,10262,23,5,15327,1455,,43463,15679,38961,124,,6436,9759,,932,,,2553,255,,,,,2553,2359,3826,10262,2771,8650,2553,38640,37125,17620,65506.4,14568.3,21971.9,2774.9,1.2,75765,17.4,64135.2,16.2,75765
North Shewa ZHD,Saya Deberna Wayu WorHO,Ham 2012 to Sen 2013,192.7,1456.9,32082.6,10192,22.8,2.4,15223.3,1444.8,,,15572.5,38697.1,113.6,,6392.3,9692.3,2408,928.6,,6906.9,2536,3.6,17500.2,,,,2536,2343.3,3799.7,10192,2751.8,14448.2,2536,,,17500.2,65061.9,14700.2,21822.8,2800,1.2,75250.9,17.5,65061.9,16.2,75250.9
North Shewa ZHD,Saya Deberna Wayu WorHO,Ham 2013 to Sen 2014,194.9,1476,32434.9,10304.9,18.7,2.4,15391.9,1460.8,640.6,45583.9,16494.9,39718.5,106.5,43.7,6463.1,9799.7,1549.9,935.8,,7111.1,2564.1,106.5,17500.2,,,,2564.1,2369.3,3842.3,10304.9,2782.3,8369.3,2564.1,34452.5,41632.1,17694.1,0,15618.2,22064.5,2075.9,1,76084.6,14,0,13,76084.6
North Shewa ZHD,Saya Deberna Wayu WorHO,Ham 2014 to Sen 2015,197.1,1477.3,32804.4,10421.3,21,2.3,15565.8,1477.3,,46377.1,15572.5,41632.7,100,,6536.1,9910.4,46377.1,946.4,5232.2,46377.1,2593,259.3,17500.2,,,,2593,2395.9,3885.7,10541.3,2846.2,8463.8,2593,38598.9,38345,17893.9,0,15794.6,74.2,2099.3,1,76943.9,14,0,13,255.9
South Wollo ZHD,Sayint WorHO,Ham 2010 to Sen 2011,450,3408.5,74899.6,23789.4,53.3,10.5,35543.5,3373.4,,100790,36358.7,90350.4,288.1,,14916.7,22629.8,,2161.1,,,5815.6,58,,,,,5921,5464.2,8872.7,23789.4,6423.1,20057.6,5921,89605,86092,40859.8,151907.6,34322.2,50952.1,6537.6,1.2,175697,43.6,151099.4,42.4,175697
South Wollo ZHD,Sayint WorHO,Ham 2011 to Sen 2012,457,5471,76101,24176,54.1,11,36110,3427,,102397,36939,91791,293,,15163,22991,,2196,,,6015,59,,,,,6015,5551.3,9013,24176,6528,20378,6015,91034,87465,41511,154330.2,34322.2,51764.7,6537.6,1.2,178499,43.6,151099.4,42.4,178499
South Wollo ZHD,Sayint WorHO,Ham 2012 to Sen 2013,449.3,3396.4,74794.5,23760.7,53.2,5.6,35490.1,3368.3,,,36304.2,90214.9,264.9,,14902.4,22595.8,5613.9,2164.9,,16102.2,5912.1,8.3,40798.4,,,,5912.1,5463,8858.3,23760.7,6415.4,33683.1,5912.1,,,40798.4,151679.4,34270.6,50875.6,6527.7,1.2,175433,43.6,151679.4,42.4,175433
South Wollo ZHD,Sayint WorHO,Ham 2013 to Sen 2014,453.4,3434.1,75462.7,23975.3,43.5,5.7,35810.7,3398.7,1490.5,108091.4,36975.7,94568.6,247.8,98.8,15037,22799.9,3675.1,2177.3,,16862.3,5965.5,247.8,40798.4,,,,5965.5,5512.3,8939.4,23975.3,6473.3,19472,5965.5,88520.2,88497.7,41167,0,38253.5,51335.2,2913.5,1,177017.9,35,0,34,177017.9
South Wollo ZHD,Sayint WorHO,Ham 2014 to Sen 2015,457.7,3431,76186,24202.8,48.8,5.4,36150.4,3431,,107707.6,36304.2,96689,232.3,,15179.6,23016.2,107707.6,2198,12151.4,107707.6,6022.1,602.2,40798.4,,,,6022.1,5564.4,9024.2,24481.5,6610,19656.7,6022.1,89643.2,89053.6,41557.4,0,38616.3,401,2941.1,1,178696.8,35,0,34,1382.7
South Gondar ZHD,Sedie Muja,Ham 2010 to Sen 2011,235.3,1782.2,39162.5,12438.7,27.9,5.5,18584.5,1763.8,,,19010.8,47241.2,150.7,,7799.4,11832.3,,1130,,,3040.8,30.3,,,,,3095.9,2857,4639.2,12438.7,3358.4,10487.4,3095.9,,,21364.2,79427.3,17945.9,26641.1,3418.3,2.5,91866,26.2,79004.8,23.7,91866
South Gondar ZHD,Sedie Muja,Ham 2011 to Sen 2012,239,0,39790,12641,28.3,6,18881,1792,,53540,19314,47994,153,,7928,12021,,1148,,,3145,30.8,,,,,3145,2902.6,4713,12641,3413,10655,3145,47598,45732,21705,80693.1,17945.9,27065.7,3418.3,2.5,93330,26.2,79004.8,23.7,93330
South Gondar ZHD,Sedie Muja,Ham 2012 to Sen 2013,223.9,1692.5,37271.3,11840.4,26.5,2.8,17685.3,1678.5,,,18091,44955.5,122.4,,7426.1,11259.8,2797.5,1078.8,,8024,2946.1,4.1,20330.5,,,,2946.1,2722.3,4414.3,11840.3,3196.9,16784.9,2946.1,,,20330.5,75584.3,17077.6,25352.1,3252.9,2.5,87421.1,26.2,75584.3,23.7,87421.1
South Gondar ZHD,Sedie Muja,Ham 2013 to Sen 2014,225.2,1706,37489,11910.7,21.6,2.8,17790.3,1688.5,740.5,50063.4,17044,44217.4,123.1,54.3,7470.2,11326.7,1702.2,1081.7,,7809.9,2963.6,123.1,20330.5,,,,2963.6,2738.5,4441,11910.7,3215.9,9673.4,2963.6,44535.1,43405.3,20451.3,0,20451.3,25502.7,0,2,87940.4,21,73870,19,87940.4
South Gondar ZHD,Sedie Muja,Ham 2014 to Sen 2015,226.7,1699.8,37745.1,11990.9,24.2,2.7,17910.1,1699.8,,53362,18091,47903,115.1,,7520.5,11403,53362,1089,6020.2,53362,2983.5,298.4,20330.5,,,,2983.5,2756.8,4470.9,12129,3274.8,9738.6,2983.5,44412.3,44120.2,20589,0,20589,98.7,0,2,88532.5,21,285.9,19,340.3
East Gojjam ZHD,Sedie WorHO,Ham 2010 to Sen 2011,293.4,2222.6,48839.1,15512.1,34.7,6.9,23176.5,2199.6,,,23708.1,58913.9,187.9,,9726.6,14756,,1409.1,,,3792.1,37.8,,,,,3860.8,3563,5785.5,15512.1,4188.3,13078.7,3860.8,,,26643,99052.9,22380.1,33223.9,4262.9,2.5,114565,19.9,98525.9,17.5,114565
East Gojjam ZHD,Sedie WorHO,Ham 2011 to Sen 2012,261,0,43386,13783,30.9,6,20587,1954,,58377,21059,52331,167,,8644,13107,,1252,,,3429,33.6,,,,,3429,3164.8,5138,13783,3721,11618,3429,51899,49864,23666,87984.3,22380.1,29511.3,4262.9,2.5,101763,19.9,98525.9,17.4,101763
East Gojjam ZHD,Sedie WorHO,Ham 2012 to Sen 2013,277.6,2098.5,46212.2,14680.7,32.9,3.5,21927.8,2081.1,,,22430.8,55739.8,151.7,,9207.5,13960.9,3468.6,1337.6,,9948.8,3652.8,182.6,5041.5,,,,3652.8,3375.3,5473.2,14680.7,3963.8,10188.9,3652.8,,,25207.5,93716.1,21174.3,31433.8,4033.2,2.5,108392.4,19.9,93716.1,17.5,108392.4
East Gojjam ZHD,Sedie WorHO,Ham 2013 to Sen 2014,279.9,2120.5,46595.3,14803.8,26.9,3.5,22111.7,2098.6,920.3,65267,25692.5,59796.5,153,63.1,9284.8,14078.1,2219.1,1344.4,,10181.7,3683.5,153,25207.5,,,,3683.5,3403.7,5519.7,14803.8,3997,12023.2,3683.5,54578.5,54723.2,25419,0,23994.3,31697.5,1424.7,2,109301.7,16,0,14,109301.7
East Gojjam ZHD,Sedie WorHO,Ham 2014 to Sen 2015,282.4,2117.3,47015.2,14935.8,30.1,3.3,22308.8,2117.3,,66467.5,22430.8,59667.9,143.4,,9367.5,14203.5,66467.5,1356.4,7498.8,66467.5,3716.3,371.6,25207.5,,,,3716.3,3433.9,5568.9,15107.8,4079.1,12130.3,3716.3,6180.8,54956,25645.5,0,24208.2,152.8,1437.4,2,110275.8,16,0,14,526.9
Waghimera ZHD,Sehala WorHO,Ham 2010 to Sen 2011,85.1,644.7,14165.9,4499.3,10.1,2,6722.4,638,,19063,6876.6,17088.2,54.5,,2821.2,4280,,408.7,,,1099.9,11,,,,,1119.9,1033.5,1678.1,4499.3,1214.8,3793.5,1119.9,16947,16283,7727.9,28730.7,6491.4,9636.7,1236.5,1.2,33230,16.2,28577.8,15,33230
Waghimera ZHD,Sehala WorHO,Ham 2011 to Sen 2012,86,1035,14393,4572,10.2,2,6830,648,,19367,6986,17361,55,,2868,4348,,415,,,1138,11.1,,,,,1138,1049.9,1705,4572,1235,3854,1138,17218,16542,7851,29188.9,6491.4,9790.4,1236.5,1.2,33760,16.2,28577.8,15,33760
Waghimera ZHD,Sehala WorHO,Ham 2012 to Sen 2013,83.7,632.4,13926.4,4424.1,9.9,1,6608.1,627.2,,,6759.7,16797.6,49.3,,2774.8,4207.2,1045.3,403.1,,2998.2,1100.8,1.5,7596.5,,,,1100.8,1017.2,1649.4,4424.1,1194.5,6271.7,1100.8,,,7596.5,28242.1,6381,9472.8,1215.4,1.2,32664.9,16.2,28242.1,15,32664.9
Waghimera ZHD,Sehala WorHO,Ham 2013 to Sen 2014,84.2,637.5,14007.8,4450.4,8.1,1.1,6647.4,630.9,276.7,18436.2,7083.1,16880.1,46,20.7,2791.2,4232.2,626.8,404.2,,2876.1,1107.3,46,7596.5,,,,1107.3,1023.2,1659.4,4450.4,1201.6,3614.5,1107.3,16312.7,16546.2,7641.6,0,7641.6,9529.1,0,1,32858.9,13,0,12,32858.9
Waghimera ZHD,Sehala WorHO,Ham 2014 to Sen 2015,84.7,635.1,14103.5,4480.4,9,0.99,6692.1,635.1,,19938.7,6759.7,17899,43,,2810,4260.7,19938.7,406.9,2249.5,19938.7,1114.8,111.5,7596.5,,,,1114.8,1030.1,1670.5,4532,1223.6,3638.8,1114.8,16594.7,16485.5,7693.1,0,7693.1,13.8,0,1,33080.2,13,0,12,47.5
West Gojjam ZHD,Sekela WorHO,Ham 2010 to Sen 2011,433.3,3282,72119.7,22906.4,51.3,10.2,34224.3,3248.2,,97049,35009.3,86997.1,277.4,,14363,21789.9,,2080.9,,,5599.7,55.9,,,,,5701.2,5261.4,8543.4,22906.4,6184.7,19313.1,5701.2,86280,82896,39343.3,146269.6,33048.3,49061,6294.9,3.7,169176,41.1,145491.4,37.4,169176
West Gojjam ZHD,Sekela WorHO,Ham 2011 to Sen 2012,440,5268,73277,23279,52.1,10,34770,3300,,98597,35568,88385,282,,14600,22137,,2114,,,5792,56.8,,,,,5792,5345.3,8679,23279,6285,19622,5792,87656,84218,39971,148602.3,33048.3,49843.5,6294.9,3.7,171874,41.1,145491.4,37.4,171874
West Gojjam ZHD,Sekela WorHO,Ham 2012 to Sen 2013,435.3,3290.5,72463.3,23020.2,51.6,5.4,34384,3263.3,,,35172.7,87403.1,256.6,,14437.9,21891.5,5438.9,2097.4,,15600.3,5727.8,8,39526.8,,,,5727.8,5292.7,8582.3,23020.1,6215.4,32633.3,5727.8,,,39526.8,146951.9,33202.5,49289.9,6324.3,3.7,169965.2,41.1,146951.9,37.4,169965.2
West Gojjam ZHD,Sekela WorHO,Ham 2013 to Sen 2014,439.8,3331.1,73197.5,23255.6,42.2,5.5,34735.8,3296.7,1445.7,100462.8,40309.7,91234.8,240.4,102.2,14585.6,22115.5,3415.7,2112,,15672.2,5786.4,240.4,39526.8,,,,5786.4,5346.9,8671.1,23255.6,6279,18887.5,5786.4,88136.8,83567.4,39931.2,0,36015.5,49794.2,3915.8,3,171704.2,33,0,30,171704.2
West Gojjam ZHD,Sekela WorHO,Ham 2014 to Sen 2015,444.4,3331.5,73976.7,23500.9,47.4,5.2,35102.1,3331.5,,104584.2,35172.7,93885.2,225.6,,14739.4,22348.7,104584.2,2134.2,11799,104584.2,5847.5,584.7,39526.8,,,,5847.5,5403,8762.5,23771.5,6418.3,19086.6,5847.5,87043.7,86471.2,40352.3,0,36395.3,377.7,3957,3,173514.9,33,0,30,1302.3
Waghimera ZHD,Sekota THO,Ham 2010 to Sen 2011,87.9,665.6,14626.4,4645.6,10.4,2.1,6940.9,658.8,,19682,7100.1,17643.6,56.3,,2912.9,4419.1,,422,,,1135.7,11.3,,,,,1156.2,1067,1732.7,4645.6,1254.3,3916.8,1156.2,17498,16812,7979.1,29664.4,6702.4,9949.9,1276.7,2.5,34310,5,29506.6,2.5,34310
Waghimera ZHD,Sekota THO,Ham 2011 to Sen 2012,89,1068,14861,4721,10.6,2,7052,669,,19996,7213,17925,57,,2961,4490,,429,,,1175,11.5,,,,,1175,1084.1,1760,4721,1275,3979,1175,17777,17080,8106,30137.4,6702.4,10108.5,1276.7,2.5,34857,5,29506.6,2.5,34857
Waghimera ZHD,Sekota THO,Ham 2012 to Sen 2013,112.1,847.7,18667.9,5930.4,13.3,1.4,8858,840.7,,,9061.2,22516.7,66.1,,3719.5,5639.7,1401.2,540.3,,4018.9,1475.6,2.1,10182.9,,,,1475.6,1363.5,2211,5930.4,1601.2,8407,1475.6,,,10182.9,37857.6,8553.6,12698,1629.3,2.5,43786.3,5,37857.6,2.5,43786.3
Waghimera ZHD,Sekota THO,Ham 2013 to Sen 2014,117.9,893.2,19627.2,6235.8,11.3,1.5,9314.1,884,387.7,31715,13710.8,29163,64.5,20.5,3911,5930.1,1078.3,566.3,,4947.5,1551.6,64.5,10182.9,,,,1551.6,1433.7,2325.1,6235.8,1683.7,5064.5,1551.6,25231,20809.9,10707.2,0,0,13351.9,10707.2,2,46040.9,4,0,2,46040.9
Waghimera ZHD,Sekota THO,Ham 2014 to Sen 2015,123.3,924.3,20524.4,6520.2,13.1,1.4,9738.9,924.3,,29016.3,9061.2,26047.9,62.6,,4089.4,6200.5,29016.3,592.1,3273.6,29016.3,1622.3,162.2,10182.9,,,,1622.3,1499,2431.1,6595.3,1780.7,5295.5,1622.3,24149.8,23990.9,11195.5,0,0,28.1,11195.5,2,48140.7,4,0,2,96.9
Waghimera ZHD,Sekota Zuria WorHO,Ham 2010 to Sen 2011,265.9,2014.2,44259.7,14057.6,31.5,6.2,21003.4,1993.4,,,21485.1,53389.9,170.3,,8814.6,13372.4,,1277,,,3436.5,34.3,,,,,3498.8,3228.9,5243.1,14057.6,3795.6,11852.4,3498.8,73186,70315,24144.9,89765.4,20281.7,30108.7,3863.2,1.2,103823,31.2,89287.8,29.9,103823
Waghimera ZHD,Sekota Zuria WorHO,Ham 2011 to Sen 2012,272,0,45261,14379,32.2,6,21477,2038,,60901,21969,54593,174,,9018,13674,,1306,,,3578,35.1,,,,,3578,3301.6,5361,14379,3882,12120,3578,74352,52019,24689,91787.7,20281.7,30787,3863.2,1.2,106162,31.1,89287.8,29.9,106162
Waghimera ZHD,Sekota Zuria WorHO,Ham 2012 to Sen 2013,258.2,1952.1,42987.8,13656.4,30.6,3.2,20397.8,1935.9,,,20865.7,51850.7,152.3,,8565.1,12986.8,3226.5,1244.3,,9254.7,3398,4.8,23448.7,,,,3398,3139.8,5091.3,13656.3,3687.2,19359.3,3398,,,23448.7,87177.2,19696.9,29240.6,3751.8,1.2,100829.5,31.2,87177.2,29.9,100829.5
Waghimera ZHD,Sekota Zuria WorHO,Ham 2013 to Sen 2014,259.8,1967.7,43239,13737.5,25,3.2,20519,1947.4,854,54415.3,19215.5,48075.7,142,67.4,8616,13064,1850.1,1247.6,,8488.8,3418.1,142,23448.7,,,,3418.1,3158.5,5122.1,13737.5,3709.1,11157.1,3418.1,50603.7,50824.7,23588,0,23588,29414.3,0,1,101428.5,25,0,24,101428.5
Waghimera ZHD,Sekota Zuria WorHO,Ham 2014 to Sen 2015,261.5,1960.5,43534.4,13830,27.9,3.1,20657.1,1960.5,,61546.5,20865.7,55250.3,132.7,,8674,13152,61546.5,1256,6943.6,61546.5,3441.2,344.1,23448.7,,,,3441.2,3179.6,5156.6,13989.3,3777.1,11232.3,3441.2,51224.1,50887.3,23746.8,0,23746.8,131.3,0,1,102111.4,25,0,24,452.7
North Gojjam ZHD,Semen Achefer WorHO,Ham 2010 to Sen 2011,655.8,4967.7,109160.5,34671.2,77.7,15.4,51801.9,4916.4,,146894,52990.1,131678.9,419.9,,21739.9,32981.2,,3149.6,,,8475.8,84.6,,,,,8629.4,7963.6,12931.3,34671.2,9361.2,29232.4,8629.4,130593,125472,59550,221393.8,50022,74258.9,9528,6.2,256065,39.9,220215.9,33.7,256065
North Gojjam ZHD,Semen Achefer WorHO,Ham 2011 to Sen 2012,666,7974,110912,35235,78.9,16,52628,4995,,149236,53835,133779,427,,22099,33507,,3200,,,8767,85.9,,,,,8767,8090.6,13136,35235,9513,29699,8767,132675,127473,60499,224924,50022,75442.9,9528,6.2,260148,39.9,220215.9,33.6,260148
North Gojjam ZHD,Semen Achefer WorHO,Ham 2012 to Sen 2013,665.8,5032.7,110829.8,35208.4,78.8,8.3,52588.9,4991.1,,,53795.3,133679.6,392.5,,22082.2,33482.2,8318.6,3207.9,,23860.1,8760.5,12.3,60454.7,,,,8760.5,8095,13126.2,35208.3,9506.2,49911.4,8760.5,,,60454.7,224757.2,50781.9,75387,9672.7,6.2,259955.1,39.9,224757.2,33.7,259955.1
North Gojjam ZHD,Semen Achefer WorHO,Ham 2013 to Sen 2014,673.9,5104.9,112175.8,35639.4,64.7,8.4,53232.8,5052.3,2215.6,140576,59098.3,133458,368.4,175.8,22352.6,33892.2,4779.6,3236.6,,21929.9,8867.8,368.4,60454.7,,,,8867.8,8194.1,13288.5,35639.4,9622.6,28945.2,8867.8,127764.2,135373.9,61194.9,221036,52398,76310,8796.9,5,263138.1,32,0,27,263138.1
North Gojjam ZHD,Semen Achefer WorHO,Ham 2014 to Sen 2015,682.3,5114.5,113569.1,36078.7,72.7,8,53888.7,5114.5,,160557.8,53795.3,144132.6,346.3,,22628,34309.8,160557.8,3276.5,18113.9,160557.8,8977,897.7,60454.7,,,,8977,8294.8,13452.2,36494.1,9853.4,29301.8,8977,133629.6,132750.7,61948.9,2573.7,53043.7,888.6,8905.2,5,266380.3,32,0,27,3064
North Gojjam ZHD,Semen Mecha WorHO,Ham 2010 to Sen 2011,756.5,5730.5,125923.9,39995.5,89.6,17.7,59757,5671.4,,,61127.6,151900.3,484.4,,25078.4,38046,,3633.3,,,9777.3,97.6,,,,,9954.6,9186.6,14917.1,39995.5,10798.8,33721.5,9954.6,,,68694.9,255392.5,57703.7,85662.5,10991.2,3.7,295388,44.9,254033.7,41.1,295388
North Gojjam ZHD,Semen Mecha WorHO,Ham 2011 to Sen 2012,797,0,132748,42171,94.4,19,62989,5978,,178616,64434,160116,511,,26449,40104,,3830,,,10493,102.8,,,,,10493,9683.4,15722,42171,11386,35546,10493,158796,152568,72410,269205.3,57703.7,90295.6,10991.2,3.7,311364,44.9,254033.7,41.1,311364
North Gojjam ZHD,Semen Mecha WorHO,Ham 2012 to Sen 2013,803.6,6074.1,133762.1,42493.6,95.2,10,63470.4,6023.9,,,64926.3,161339.9,473.8,,26651.4,40410.2,10039.8,3871.6,,28797.1,10573.2,14.8,72963.7,,,,10573.2,9770,15842.2,42493.4,11473.2,60238.8,10573.2,,,72963.7,271262.8,61289.5,90985.7,11674.2,3.7,313743.7,44.9,271262.8,41.1,313743.7
North Gojjam ZHD,Semen Mecha WorHO,Ham 2013 to Sen 2014,814.2,6167,135515.7,43054.8,78.2,10.2,64308.8,6103.5,2676.6,185431.2,77815.6,172781,445,189.9,27003.4,40944,6304.7,3910,,28927.3,10712.8,445,72963.7,,,,10712.8,9899,16053.4,43054.8,11624.8,34967.7,10712.8,163636.1,154252.1,73927.5,0,61684,92187.6,12243.5,3,317888.2,36,0,33,317888.2
